sample_name,bam_file_id,bai_file_id,current_coverage,desired_coverage
469132_TF_5,file-J6x2fzQ0P0y4qfxQJ5y6p3JG,file-J6x2fzQ0P0yJq9XPJ9yVz8vk,50,25
469132_TF_10,file-J6x1k1Q05qx988x13jxpzGF3,file-J6x1k1Q05qx2X6PkXGZfbJQz,50,25
469132_TF_2,file-J6x0f1808kZ3Yb68XB2vvq8F,file-J6x0f1808kZ5kQjpBQFf972B,50,25
469132_TF_1,file-J6x0GY00V396jvJ48867v8F4,file-J6x0GY00V3996xQz01XjbyxB,50,25
469132_TF_3,file-J6x02kj0JJXGXz81vgkp4Z9y,file-J6x02kj0JJX2Kv8bb8VfzkyP,50,25
469132_TF_original,file-J6vzyVj0xvZ32x07Kg4zXfvp,file-J6vzyVj0xvZ3kjpq3vzxX0Z0,50,25
469144_TF_5,file-J6x02yQ0V7GygQz9068JzZ5p,file-J6x02yQ0V7GVFVkbZJz0XvZZ,50,25
469144_TF_3,file-J6x02p80QXJQkVx61FBGzK0P,file-J6x02p80QXJj60JKgYG8JVFx,50,25
469144_TF_10,file-J6vzzGj0G15XBqggJ3vbf4J3,file-J6vzzGj0G15Q2f418xFj74k2,50,25
469144_TF_2,file-J6vzy7Q01FyzBv7zzG8xj2Xg,file-J6vzy7Q01FykzZ1q2G35gGJ9,50,25
469144_TF_1,file-J6vzxjj0KBGpV7kFVzg1z90B,file-J6vzxjj0KBGxzjp5Zxkjyvf4,50,25
469144_TF_original,file-J6vzQf0055Kj072YPVk0jKf2,file-J6vzQf0055KvXkxz3g9QzpGG,50,25
469160_TF_5,file-J6x04500JBfFgG5y6F58g7Kb,file-J6x04500JBf1Y93kXx57y7kj,50,25
469160_TF_10,file-J6x04P80V7qkkg3JGX7QYkVJ,file-J6x04P80V7qv54JGxqQVjVqY,50,25
469160_TF_3,file-J6x00gQ0k4fvXkxz3g9V0V8f,file-J6x00gQ0k4ffJ6ZxX82b1ZzQ,50,25
469160_TF_2,file-J6vzzQQ0qFQzPGV4fgfgbv66,file-J6vzzQQ0qFQY80f19bv6BgX9,50,25
469160_TF_1,file-J6vzxBj0GYPk6xQz01XjZY34,file-J6vzxBj0GYPXfJx9VqKK6Fx8,50,25
469160_TF_original,file-J6vzZJ80FvJY80f19bv6B0Q9,file-J6vzZJ80FvJX45jV0vv4xZF8,50,25
469168_TF_10,file-J6x04fj0xJFY039P4jqyXB7v,file-J6x04fj0xJFv3Y27VFkQ62B0,50,25
469168_TF_5,file-J6x04480YQ5f6y7X7f8zjJjf,file-J6x04480YQ5xzjp5Zxkjz088,50,25
469168_TF_2,file-J6x03b80jq1kQGzYb37J7v58,file-J6x03b80jq1b2Q4QKqJ3vPvB,50,25
469168_TF_3,file-J6x03Y003GXPpYVgF5BFqvJY,file-J6x03Y003GX90q9Jgzk6Zk0g,50,25
469168_TF_1,file-J6x012Q0ybJ9PjX84Kk6zg5G,file-J6x012Q0ybJJqfK5vx9ZKZG6,50,25
469168_TF_original,file-J6vzZXQ0vVkzpYVgF5BFpB93,file-J6vzZXQ0vVkv54JGxqQVjK7b,50,25
469176_TF_5,file-J6x066Q0k0PpqPPPxy9yPbPQ,file-J6x066Q0k0PzvBK1G00FK54q,50,25
469176_TF_2,file-J6x05FQ0BzQzVJ5XpG0Bk49X,file-J6x05FQ0BzQxqfK5vx9ZQzF1,50,25
469176_TF_10,file-J6x045j037xyzg737xGjKP14,file-J6x045j037xj072YPVk0xPG0,50,25
469176_TF_3,file-J6x03PQ0J2k988x13jxpgBj4,file-J6x03Pj0J2k4808b9F04fZk8,50,25
469176_TF_1,file-J6x039j05yyZPBVFYQ372bXb,file-J6x039j05yyv54JGxqQVjVXX,50,25
469176_TF_original,file-J6vzP6j07ggKzg737xGjGGx1,file-J6vzP7007ggBV7kFVzg1v1J2,50,25
469192_TF_2,file-J6x05900PYxZJzkGjjJqQ1pg,file-J6x05900PYxv54JGxqQVjX05,50,25
469192_TF_1,file-J6x05X80g347f6Jvb51v3G4Z,file-J6x05X00g348072YPVk0y3Jz,50,25
469192_TF_3,file-J6x04zj0gG2VGy6VKJ8jFbf9,file-J6x04zj0gG2Y039P4jqyXBB2,50,25
469192_TF_5,file-J6x04Y805ZqZxJXP4Q2vBJ02,file-J6x04Y805Zqxzjp5Zxkjz0BX,50,25
469192_TF_10,file-J6x03yQ0FFJvVGPByg60P7Kf,file-J6x03yQ0FFJfpPGz7K8FQY1X,50,25
469192_TF_original,file-J6vzP5008fKVFVkbZJz0V30x,file-J6vzP5008fKzJZ6FX14ggVfF,50,25
470542_TF_1,file-J6j8j6Q0Zp60Z9ZB7jk33zXz,file-J6j8j6Q0Zp6GgVXGyvpz9pV2,50,25
470542_TF_3,file-J6j8by003VFxZZGKxPg9GKx8,file-J6j8by003VFjp0JQ8vX14ZxJ,50,25
470542_TF_2,file-J6j8f3008xZ1bzpqjV6k1Jyv,file-J6j8f3008xZJV7Z46Fq5Gk94,50,25
470542_TF_5,file-J6j8f8Q0X6JQ416QX5Q11YK1,file-J6j8f8Q0X6Jvk80qjxPJZppP,50,25
470542_TF_10,file-J6j8Xjj0xKgfYXQq7Z5k0VQy,file-J6j8Xjj0xKggBv6xBzp9jqKp,50,25
470542_TF_original,file-J6j7x000g9Bjgp8zqgVvK8b8,file-J6j7x000g9BjY1xXpFPVpxP1,50,25
470544_TF_1,file-J6j8pX804zjPK0xXF8FYqZQZ,file-J6j8pX804zjFYgqYjybzx5VP,50,25
470544_TF_2,file-J6j8kKj0Fqk3Gv7qq4bxJJz2,file-J6j8kKj0Fqk3vKb554z9GP98,50,25
470544_TF_3,file-J6j8k780jY90kXk3Xgv8gvxF,file-J6j8k780jY931JP1xvJzY6P1,50,25
470544_TF_10,file-J6j8j1j0kX7XBbq9JjJZqj32,file-J6j8j1j0kX7VPxKX8V32J072,50,25
470544_TF_5,file-J6j8fzj0qx69YPFbg9k6QZvj,file-J6j8fzj0qx6Fbg6Y8V73y8b9,50,25
470544_TF_original,file-J6j84880JJZq9GXGqF6ygjJF,file-J6j84880JJZjY1xXpFPVpy03,50,25
469132_TF_5,file-J6x2fzQ0P0y4qfxQJ5y6p3JG,file-J6x2fzQ0P0yJq9XPJ9yVz8vk,50,10
469132_TF_10,file-J6x1k1Q05qx988x13jxpzGF3,file-J6x1k1Q05qx2X6PkXGZfbJQz,50,10
469132_TF_2,file-J6x0f1808kZ3Yb68XB2vvq8F,file-J6x0f1808kZ5kQjpBQFf972B,50,10
469132_TF_1,file-J6x0GY00V396jvJ48867v8F4,file-J6x0GY00V3996xQz01XjbyxB,50,10
469132_TF_3,file-J6x02kj0JJXGXz81vgkp4Z9y,file-J6x02kj0JJX2Kv8bb8VfzkyP,50,10
469132_TF_original,file-J6vzyVj0xvZ32x07Kg4zXfvp,file-J6vzyVj0xvZ3kjpq3vzxX0Z0,50,10
469144_TF_5,file-J6x02yQ0V7GygQz9068JzZ5p,file-J6x02yQ0V7GVFVkbZJz0XvZZ,50,10
469144_TF_3,file-J6x02p80QXJQkVx61FBGzK0P,file-J6x02p80QXJj60JKgYG8JVFx,50,10
469144_TF_10,file-J6vzzGj0G15XBqggJ3vbf4J3,file-J6vzzGj0G15Q2f418xFj74k2,50,10
469144_TF_2,file-J6vzy7Q01FyzBv7zzG8xj2Xg,file-J6vzy7Q01FykzZ1q2G35gGJ9,50,10
469144_TF_1,file-J6vzxjj0KBGpV7kFVzg1z90B,file-J6vzxjj0KBGxzjp5Zxkjyvf4,50,10
469144_TF_original,file-J6vzQf0055Kj072YPVk0jKf2,file-J6vzQf0055KvXkxz3g9QzpGG,50,10
469160_TF_5,file-J6x04500JBfFgG5y6F58g7Kb,file-J6x04500JBf1Y93kXx57y7kj,50,10
469160_TF_10,file-J6x04P80V7qkkg3JGX7QYkVJ,file-J6x04P80V7qv54JGxqQVjVqY,50,10
469160_TF_3,file-J6x00gQ0k4fvXkxz3g9V0V8f,file-J6x00gQ0k4ffJ6ZxX82b1ZzQ,50,10
469160_TF_2,file-J6vzzQQ0qFQzPGV4fgfgbv66,file-J6vzzQQ0qFQY80f19bv6BgX9,50,10
469160_TF_1,file-J6vzxBj0GYPk6xQz01XjZY34,file-J6vzxBj0GYPXfJx9VqKK6Fx8,50,10
469160_TF_original,file-J6vzZJ80FvJY80f19bv6B0Q9,file-J6vzZJ80FvJX45jV0vv4xZF8,50,10
469168_TF_10,file-J6x04fj0xJFY039P4jqyXB7v,file-J6x04fj0xJFv3Y27VFkQ62B0,50,10
469168_TF_5,file-J6x04480YQ5f6y7X7f8zjJjf,file-J6x04480YQ5xzjp5Zxkjz088,50,10
469168_TF_2,file-J6x03b80jq1kQGzYb37J7v58,file-J6x03b80jq1b2Q4QKqJ3vPvB,50,10
469168_TF_3,file-J6x03Y003GXPpYVgF5BFqvJY,file-J6x03Y003GX90q9Jgzk6Zk0g,50,10
469168_TF_1,file-J6x012Q0ybJ9PjX84Kk6zg5G,file-J6x012Q0ybJJqfK5vx9ZKZG6,50,10
469168_TF_original,file-J6vzZXQ0vVkzpYVgF5BFpB93,file-J6vzZXQ0vVkv54JGxqQVjK7b,50,10
469176_TF_5,file-J6x066Q0k0PpqPPPxy9yPbPQ,file-J6x066Q0k0PzvBK1G00FK54q,50,10
469176_TF_2,file-J6x05FQ0BzQzVJ5XpG0Bk49X,file-J6x05FQ0BzQxqfK5vx9ZQzF1,50,10
469176_TF_10,file-J6x045j037xyzg737xGjKP14,file-J6x045j037xj072YPVk0xPG0,50,10
469176_TF_3,file-J6x03PQ0J2k988x13jxpgBj4,file-J6x03Pj0J2k4808b9F04fZk8,50,10
469176_TF_1,file-J6x039j05yyZPBVFYQ372bXb,file-J6x039j05yyv54JGxqQVjVXX,50,10
469176_TF_original,file-J6vzP6j07ggKzg737xGjGGx1,file-J6vzP7007ggBV7kFVzg1v1J2,50,10
469192_TF_2,file-J6x05900PYxZJzkGjjJqQ1pg,file-J6x05900PYxv54JGxqQVjX05,50,10
469192_TF_1,file-J6x05X80g347f6Jvb51v3G4Z,file-J6x05X00g348072YPVk0y3Jz,50,10
469192_TF_3,file-J6x04zj0gG2VGy6VKJ8jFbf9,file-J6x04zj0gG2Y039P4jqyXBB2,50,10
469192_TF_5,file-J6x04Y805ZqZxJXP4Q2vBJ02,file-J6x04Y805Zqxzjp5Zxkjz0BX,50,10
469192_TF_10,file-J6x03yQ0FFJvVGPByg60P7Kf,file-J6x03yQ0FFJfpPGz7K8FQY1X,50,10
469192_TF_original,file-J6vzP5008fKVFVkbZJz0V30x,file-J6vzP5008fKzJZ6FX14ggVfF,50,10
470542_TF_1,file-J6j8j6Q0Zp60Z9ZB7jk33zXz,file-J6j8j6Q0Zp6GgVXGyvpz9pV2,50,10
470542_TF_3,file-J6j8by003VFxZZGKxPg9GKx8,file-J6j8by003VFjp0JQ8vX14ZxJ,50,10
470542_TF_2,file-J6j8f3008xZ1bzpqjV6k1Jyv,file-J6j8f3008xZJV7Z46Fq5Gk94,50,10
470542_TF_5,file-J6j8f8Q0X6JQ416QX5Q11YK1,file-J6j8f8Q0X6Jvk80qjxPJZppP,50,10
470542_TF_10,file-J6j8Xjj0xKgfYXQq7Z5k0VQy,file-J6j8Xjj0xKggBv6xBzp9jqKp,50,10
470542_TF_original,file-J6j7x000g9Bjgp8zqgVvK8b8,file-J6j7x000g9BjY1xXpFPVpxP1,50,10
470544_TF_1,file-J6j8pX804zjPK0xXF8FYqZQZ,file-J6j8pX804zjFYgqYjybzx5VP,50,10
470544_TF_2,file-J6j8kKj0Fqk3Gv7qq4bxJJz2,file-J6j8kKj0Fqk3vKb554z9GP98,50,10
470544_TF_3,file-J6j8k780jY90kXk3Xgv8gvxF,file-J6j8k780jY931JP1xvJzY6P1,50,10
470544_TF_10,file-J6j8j1j0kX7XBbq9JjJZqj32,file-J6j8j1j0kX7VPxKX8V32J072,50,10
470544_TF_5,file-J6j8fzj0qx69YPFbg9k6QZvj,file-J6j8fzj0qx6Fbg6Y8V73y8b9,50,10
470544_TF_original,file-J6j84880JJZq9GXGqF6ygjJF,file-J6j84880JJZjY1xXpFPVpy03,50,10
469132_TF_5,file-J6x2fzQ0P0y4qfxQJ5y6p3JG,file-J6x2fzQ0P0yJq9XPJ9yVz8vk,50,5
469132_TF_10,file-J6x1k1Q05qx988x13jxpzGF3,file-J6x1k1Q05qx2X6PkXGZfbJQz,50,5
469132_TF_2,file-J6x0f1808kZ3Yb68XB2vvq8F,file-J6x0f1808kZ5kQjpBQFf972B,50,5
469132_TF_1,file-J6x0GY00V396jvJ48867v8F4,file-J6x0GY00V3996xQz01XjbyxB,50,5
469132_TF_3,file-J6x02kj0JJXGXz81vgkp4Z9y,file-J6x02kj0JJX2Kv8bb8VfzkyP,50,5
469132_TF_original,file-J6vzyVj0xvZ32x07Kg4zXfvp,file-J6vzyVj0xvZ3kjpq3vzxX0Z0,50,5
469144_TF_5,file-J6x02yQ0V7GygQz9068JzZ5p,file-J6x02yQ0V7GVFVkbZJz0XvZZ,50,5
469144_TF_3,file-J6x02p80QXJQkVx61FBGzK0P,file-J6x02p80QXJj60JKgYG8JVFx,50,5
469144_TF_10,file-J6vzzGj0G15XBqggJ3vbf4J3,file-J6vzzGj0G15Q2f418xFj74k2,50,5
469144_TF_2,file-J6vzy7Q01FyzBv7zzG8xj2Xg,file-J6vzy7Q01FykzZ1q2G35gGJ9,50,5
469144_TF_1,file-J6vzxjj0KBGpV7kFVzg1z90B,file-J6vzxjj0KBGxzjp5Zxkjyvf4,50,5
469144_TF_original,file-J6vzQf0055Kj072YPVk0jKf2,file-J6vzQf0055KvXkxz3g9QzpGG,50,5
469160_TF_5,file-J6x04500JBfFgG5y6F58g7Kb,file-J6x04500JBf1Y93kXx57y7kj,50,5
469160_TF_10,file-J6x04P80V7qkkg3JGX7QYkVJ,file-J6x04P80V7qv54JGxqQVjVqY,50,5
469160_TF_3,file-J6x00gQ0k4fvXkxz3g9V0V8f,file-J6x00gQ0k4ffJ6ZxX82b1ZzQ,50,5
469160_TF_2,file-J6vzzQQ0qFQzPGV4fgfgbv66,file-J6vzzQQ0qFQY80f19bv6BgX9,50,5
469160_TF_1,file-J6vzxBj0GYPk6xQz01XjZY34,file-J6vzxBj0GYPXfJx9VqKK6Fx8,50,5
469160_TF_original,file-J6vzZJ80FvJY80f19bv6B0Q9,file-J6vzZJ80FvJX45jV0vv4xZF8,50,5
469168_TF_10,file-J6x04fj0xJFY039P4jqyXB7v,file-J6x04fj0xJFv3Y27VFkQ62B0,50,5
469168_TF_5,file-J6x04480YQ5f6y7X7f8zjJjf,file-J6x04480YQ5xzjp5Zxkjz088,50,5
469168_TF_2,file-J6x03b80jq1kQGzYb37J7v58,file-J6x03b80jq1b2Q4QKqJ3vPvB,50,5
469168_TF_3,file-J6x03Y003GXPpYVgF5BFqvJY,file-J6x03Y003GX90q9Jgzk6Zk0g,50,5
469168_TF_1,file-J6x012Q0ybJ9PjX84Kk6zg5G,file-J6x012Q0ybJJqfK5vx9ZKZG6,50,5
469168_TF_original,file-J6vzZXQ0vVkzpYVgF5BFpB93,file-J6vzZXQ0vVkv54JGxqQVjK7b,50,5
469176_TF_5,file-J6x066Q0k0PpqPPPxy9yPbPQ,file-J6x066Q0k0PzvBK1G00FK54q,50,5
469176_TF_2,file-J6x05FQ0BzQzVJ5XpG0Bk49X,file-J6x05FQ0BzQxqfK5vx9ZQzF1,50,5
469176_TF_10,file-J6x045j037xyzg737xGjKP14,file-J6x045j037xj072YPVk0xPG0,50,5
469176_TF_3,file-J6x03PQ0J2k988x13jxpgBj4,file-J6x03Pj0J2k4808b9F04fZk8,50,5
469176_TF_1,file-J6x039j05yyZPBVFYQ372bXb,file-J6x039j05yyv54JGxqQVjVXX,50,5
